Month,Ad Spend ($),Sessions,Conversion Rate (%),Conversions,Revenue ($),Clicks,ROAS
Jan,5174,10498,2.53,265,15429.98,10474.0,2.98
Feb,5507,13399,2.3,308,13895.64,13391.0,2.52
Mar,2860,6579,2.84,186,7802.99,6549.0,2.73
Apr,3294,7754,2.04,158,10817.72,7745.0,3.28
May,3130,6292,2.3,144,9931.53,6261.0,3.17
Jun,3095,7690,2.42,186,11950.86,7686.0,3.86
Jul,5772,13946,2.58,359,17640.69,13915.0,3.06
Aug,5092,10724,3.13,335,14381.6,10703.0,2.82
Sep,3638,7606,2.14,162,9805.37,7570.0,2.7
Oct,4169,8720,2.67,232,12343.46,8689.0,2.96
Nov,2466,5307,2.81,149,6505.51,5302.0,2.64
Dec,3238,7325,1.88,137,7515.18,7287.0,2.32
